,DONNIE'S DABBLER,Cappuccino,The Indian Pantry - Garam Masala,Make it sundae,Fennel Sausage Pizza,Almond cone ,Takenaka - Nabeyaki Udon,Extra Dip,The Indian Pantry - Goan Vindaloo Sauce,Mushroom Pizza,Flaming Chocolate - Morning Glory,The Indian Pantry - Aai's Gravy,Clarity Kombucha - Ginger Lemon Jalapeno,SF Guardian IPA,TRIPLE SMASH BURGER,1. Nutella,Kula Kitchen - Pili Pili Sauce,Eska Water,Wood-Fired Cauliflower,DOUBLE SMASH BURGER,San pellegrino,Flaming Chocolate - Miss Saigon,Panna Pizza,SIRIUS SAUCE,Charred Radicchio Wedge,Clarity Kombucha - Flower Power,Meatball Pizza,Tality Kombucha,Not Too Sweet - Ginger Beer,RAPH'S RAZZLE-DAZZLE,Pastaggio - Bolognese,Flow Water,Flaming Chocolate - Choco Nuts,SF White Wine,Elbo Patties - Beef,SINGLE SMASH BURGER,Sriracha Revolver - Jalapeno Ginger,7. Banana Split,Meatballs,True Nosh - XOXO Sauce,CRAZY FRIES,Takenaka - Kakuni Curry Udon,Takenaka - Mentaiko Cream Udon,TWISTED FRIES,The Dumpling King - JWB,SF Talisman,Prague's OG,SIRIUS FRIES,SF Jongleur,Vegan Chimney cake box (Vegan whipped cream or ice cream),9. Strawberry Sundae Cup,Cinnamon chimney cake,2. Mango,True Nosh,True Nosh - Vegan Dumplings,Americano,Not Too Sweet - Fizzy Lemonade,Not Too Sweet - Lychee Lemonade,4. Mr. Berry,Caesar Salad,Sriracha Revolver - Cilantro Lime,3. Pistachio,Game Changer Foods,The Dumpling King - 3X,Takenaka,5. PB&Jam,LEO'S LIBERATOR,Extra topping,Affogato,SF Rose,Latte,Flaming Chocolate,Pastaggio - Crema Con Funghi,MIKEY'S MAGIC,Almond Chimney cake,Elbo Patties,Praguery Latte,Sriracha Revolver - Beets & Tequila,SF Beldame,Flaming Chocolate - Guadala Wanna 57% Mexican milk chocolate,The Indian Pantry,Lemonade,Garlic Rapini,Half & Half Lemonade,Prosciutto & Arugula Pizza,Yumasoy,Game Changer Foods - Super Seeds,Phillips Soda,Sriracha Revolver - Chili Garlic,4. Vegan Mr. Berry,SF Red Wine,Atypique,8. Panda's Matcha,Yumasoy - Teriyaki,The Dumpling King,Double Espresso,SIRIUS FRIES ($3 OFF PROMO),Clarity Kombucha - Aplicot Sage,Regular chimney box,Apple Juice,True Nosh - Granola,Pastaggio,Sriracha Revolver - Clean Mango,Not Too Sweet,The Indian Pantry - Goan Vindaloo Masala Spices,Yumasoy - Mediterranean Herbs,3. Vegan Pistachio,Kale Salad,6. Vegan Lemon (honey?),Cinnamon cone,2. Vegan Mango,Olives & Grapes,Loaded Meat Lovers,Pastaggio - Lasagna,Panna Verde pizza,Pepperoni Pizza,Margherita Pizza,Elbo Patties - Mushroom,DIRTY FRIES,The Dumpling King - Taiwanese,Nicelife Cocktails,Game Changer Foods - Vanilla Coconut,True Nosh - Black Bean Sauce,Kula Kitchen - BBQ Sauce,Clarity Kombucha - Orange Dreamsicle + Chaga,White Rock Pale Ale,Strawberry Lemonade,5. Vegan PB&Jam (Honey?),SENSEI'S SALTCHUCK,6. Lemon,Vansuya Hibisberry,Yumasoy - Original,Orange Juice,Extra sauce and topping,Sriracha Revolver,The Indian Pantry - Cutting Masala Chai,Game Changer Foods - Chocolate Brownie,Remedy Kombucha,Yumasoy - Thai Yellow Curry,The Indian Pantry - Makhani Sauce,Kula Kitchen,True Nosh - Blueberry Ginger Compote
DONNIE'S DABBLER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cappuccino,0.0,1.0,0.0,0.31080713206948674,0.3441895835553538,0.16012815380508713,0.11322770341445956,0.0,0.0,0.3209118995094173,0.0,0.0,0.07897471897389846,0.2646252542727904,0.342139597581018,0.1056809656460358,0.0,0.3436011534214027,0.2806917861068948,0.3369005214186115,0.0,0.0,0.24973998952923496,0.3948384934342597,0.2562050460881394,0.13355611265883557,0.2383374366896872,0.0,0.2763300501621454,0.0,0.0,0.3348710503094313,0.0,0.23516041540204582,0.0,0.37685477856150706,0.0,0.07479575920067658,0.09245003270420486,0.07767356373806174,0.29528206350464736,0.0,0.0,0.1976664844429603,0.0,0.3913614160263849,0.0,0.2787928651331521,0.25202760822863485,0.12009611535381534,0.0,0.2658440838594625,0.07014183920871789,0.0,0.0,0.29303177430330263,0.04441155916843275,0.3812212878757826,0.0811288671054796,0.35525208355576116,0.0,0.0,0.0,0.0,0.0,0.01612973161989717,0.0,0.3268602252303068,0.4170905142069526,0.26497342052441325,0.4134491152973615,0.0,0.0,0.0,0.4100461840523648,0.0,0.3026137663344012,0.0,0.33512421461155356,0.0,0.07161148740394328,0.38159325835099633,0.1235415527768502,0.42932283582588016,0.31391397053161246,0.0,0.0,0.3633287644326511,0.0,0.07767356373806174,0.251789873349222,0.15534712747612348,0.0,0.0,0.0,0.38516444325982163,0.26781253626846063,0.15191090506255,0.38860114272378643,0.36374182356249135,0.0,0.22645540682891913,0.0,0.35989439408864843,0.0,0.0,0.0,0.18652060529171274,0.07767356373806174,0.2632490632463282,0.11322770341445959,0.20336295869552104,0.31069425495224695,0.0,0.0,0.3381950151251946,0.3421312384638006,0.0,0.2897823455483798,0.0,0.0,0.0,0.0,0.0,0.18490006540840973,0.27806034280463504,0.49511588540977036,0.0,0.0,0.09448819911181111,0.19925419255468715,0.0,0.35668171250570624,0.08006407690254357,0.16012815380508713,0.0,0.0,0.28388742624521596,0.0,0.0,0.0,0.0
The Indian Pantry - Garam Masala,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06213697660012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002368903495160033,0.8366600265340755,0.0,0.0,0.09166984970282112,0.002640075967694903,0.0,0.0,0.0,0.0,0.0,0.0,0.0016410452862139525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.801783725737273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021493649860054986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00959875915261994,0.8571428571428569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004956511526291119,0.0,0.0,0.0,0.13363062095621217,0.8571428571428569,0.0,0.0,0.0,0.0,0.0,0.0,0.03919309008348102,0.0,0.0,0.0,0.529150262212918,0.8571428571428569,0.0,0.0,0.0,0.0,0.0,0.0
Make it sundae,0.0,0.31080713206948674,0.0,1.0,0.3887965929604763,0.21566554640687682,0.1906232129157558,0.21566554640687682,0.0,0.3287914131579083,0.0,0.0,0.3634157736159576,0.3186048906226069,0.2954349405890643,0.5453573120755861,0.0,0.3984986731063108,0.25445294301975857,0.34453474418325697,0.0,0.0,0.30272178264371613,0.25714394998893486,0.22644882372722067,0.21360453144631175,0.3834169362567948,0.0,0.29344161385133893,0.0,0.0,0.39578839261708887,0.0,0.3912439776559702,0.0,0.2264081052002554,0.0,0.7198515282278953,0.29572208302322794,0.039229933572445606,0.338191399705302,0.0,0.0,0.30782072560837126,0.0,0.3609045479261757,0.0,0.3396704582562363,0.34161446011645136,0.0808745799025788,0.0,0.6436321578752592,0.722894723525407,0.0,0.0,0.46044162495868207,0.05981486045545792,0.3050879001198787,0.6556011933406165,0.3902230844236139,0.0,0.0,0.053916386601719206,0.0,0.0,0.7295650401035372,0.0,0.17609018126512477,0.5751254043851921,0.3408150442969237,0.3549893545734365,0.0,0.0,0.0,0.4763267283240546,0.0,0.2241632651332861,0.03812464258315116,0.34868240487973273,0.0,0.19289712886816482,0.43795560540874173,0.09983374884595826,0.38004321772960276,0.3196083793288346,0.0,0.0,0.34247836508684426,0.0,0.16999637881393095,0.39563811367793317,0.23537960143467362,0.0,0.0,0.0,0.1729171253112705,0.3262767326791697,0.2898475942749512,0.7514241844716902,0.40788443338812763,0.0,0.03812464258315116,0.0,0.36422229792193256,0.0,0.0,0.0,0.32509751449291063,0.3138394685795648,0.39887097104190467,0.15249857033260467,0.19172686248267184,0.35306940215201044,0.0,0.07624928516630232,0.33361193737948247,0.3913471833906921,0.0,0.3478652298818193,0.0,0.0,0.0,0.01906232129157558,0.0,0.20233616206852437,0.31431272100120966,0.4440080550385602,0.4322928132781762,0.0,0.7560719002902553,0.2795434423019676,0.0,0.403776038819286,0.4582892861146133,0.1617491598051576,0.0,0.0,0.30988717837501256,0.0,0.0,0.0,0.0
Fennel Sausage Pizza,0.0,0.3441895835553538,0.0,0.3887965929604763,1.0,0.1386750490563073,0.441261304060914,0.06933752452815364,0.0,0.7444228321925206,0.0,0.0,0.5015568278463086,0.6684188953258632,0.5854345796024829,0.1890136541274797,0.0,0.6187511098391517,0.6170650134055817,0.6809129517550271,0.0,0.0,0.6812857021105081,0.5421551311523463,0.5130976815083369,0.5638570586670844,0.8084245764806933,0.0,0.533842804216457,0.0,0.0,0.6954245570570093,0.0,0.5870052818488815,0.0,0.5527793775948877,0.0,0.18622820424399755,0.5004004806408974,0.40360367639778755,0.6150883441509117,0.0,0.0,0.6205427141408236,0.0,0.8017945543563297,0.0,0.5873475856882276,0.7107516287177124,0.06933752452815364,0.0,0.36726804558481846,0.19015705447172795,0.0,0.0,0.3277900741893055,0.13461538461538464,0.5550302767044406,0.17899484782416392,0.7666215413804831,0.0,0.0,0.48536267169707553,0.0,0.0,0.13503132094420878,0.0,0.028306925853614898,0.33541019662496857,0.7503790431508823,0.2327373340628157,0.0,0.0,0.0,0.3195993709027958,0.0,0.15724272550828775,0.024514516892273002,0.7530190268806408,0.0,0.279078152825719,0.6680457813035499,0.2567762955065478,0.676144441511067,0.8317544116950779,0.0,0.0,0.7010666029892029,0.0,0.10090091909944687,0.7195862082291058,0.5717718748968657,0.0,0.0,0.0,0.09265616458263766,0.5704790343341178,0.5262348115842175,0.42788461538461536,0.7537731141002731,0.0,0.19611613513818402,0.0,0.6620949755542487,0.0,0.0,0.0,0.6271226144578615,0.03363363969981562,0.2507784139231543,0.06537204504606135,0.3522349768381735,0.613813924521635,0.0,0.19611613513818402,0.7505190284874328,0.7691044672430156,0.0,0.6583124054953313,0.0,0.0,0.0,0.19611613513818404,0.0,0.4003203845127179,0.5676172558268698,0.7026096601320324,0.055593698749582594,0.0,0.18531902708022477,0.6830468038948728,0.0,0.766912777064142,0.06933752452815364,0.4714951667914448,0.0,0.0,0.707820799119127,0.0,0.0,0.0,0.0
Almond cone ,0.0,0.16012815380508713,0.0,0.21566554640687682,0.1386750490563073,1.0,0.0,0.0,0.0,0.10020470850492694,0.0,0.0,0.08219949365267865,0.07511746287542015,0.05169341375966832,0.07173667597046779,0.0,0.10218040549352575,0.26967994498529685,0.030775763166362578,0.0,0.0,0.31192514694602186,0.0,0.2,0.3127716210856122,0.12403473458920847,0.0,0.0,0.0,0.0,0.06401843996644799,0.0,0.12958026383720403,0.0,0.04857335384281491,0.0,0.03892494720807615,0.2886751345948129,0.0,0.04190990671703344,0.0,0.0,0.23145502494313785,0.0,0.1185547252856596,0.0,0.03690528059889392,0.16142686245425236,0.25,0.0,0.11858541225631422,0.057135084190751154,0.0,0.0,0.07624928516630233,0.0,0.017251638983558856,0.02412617203266904,0.12729376930432887,0.0,0.0,0.0,0.0,0.0,0.016788356946826864,0.0,0.0,0.24806946917841693,0.09928550884822428,0.2581988897471611,0.0,0.0,0.0,0.25607375986579195,0.0,0.0,0.0,0.1508360396010081,0.0,0.0,0.03843627636458541,0.1543033499620919,0.10810968751610264,0.140028008402801,0.0,0.0,0.04265013922260281,0.0,0.0,0.20965696734438366,0.24253562503633297,0.0,0.0,0.0,0.0,0.03147156255537028,0.15811388300841897,0.03466876226407682,0.10140923928935458,0.0,0.0,0.0,0.10793270085370914,0.0,0.0,0.0,0.23981604843963608,0.12126781251816648,0.1643989873053573,0.11785113019775793,0.1270001270001905,0.18190171877724973,0.0,0.35355339059327373,0.09900127464961671,0.23487544638750357,0.0,0.019670545303487226,0.0,0.0,0.0,0.0,0.0,0.0,0.062017367294604234,0.0612276774922627,0.0,0.0,0.03471050672503116,0.0,0.0,0.1152143058963853,0.0,0.0,0.0,0.0,0.05718956157005957,0.0,0.0,0.0,0.0
Takenaka - Nabeyaki Udon,0.0,0.11322770341445956,0.0,0.1906232129157558,0.441261304060914,0.0,0.9999999999999998,0.0,0.0,0.3239105320715664,0.0,0.0,0.11624763874381927,0.5134553180524705,0.3167906162385766,0.07101568605389974,0.0,0.5298513559449968,0.09534625892455922,0.46293179040759264,0.0,0.0,0.25732511773283273,0.34412360080584264,0.282842712474619,0.4423258684646914,0.49699954427398324,0.0,0.6101202308031117,0.0,0.0,0.39232156618424696,0.0,0.5497624996033734,0.0,0.031022688414270513,0.0,0.05504818825631803,0.2041241452319315,0.0,0.5531825457855196,0.0,0.0,0.5455447255899809,0.0,0.47719099339605103,0.0,0.6170930363278958,0.39951110187474465,0.0,0.0,0.22360679774997896,0.05386747396659259,0.0,0.0,0.3234983196103152,0.0,0.46355253465055324,0.06823911939349403,0.2571722499368198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26311740579210874,0.4446345583408635,0.18257418583505533,0.0,0.0,0.0,0.09053574604251853,0.0,0.26726124191242434,0.0,0.4932894873275289,0.0,0.3162277660168379,0.452975861015976,0.0,0.4892485961894068,0.3300491809922248,0.0,0.0,0.5267632731778287,0.0,0.0,0.5188745216627708,0.34299717028501764,0.0,0.0,0.0,0.0,0.5976722851312176,0.4472135954999579,0.24514516892273006,0.44458439681412565,0.0,0.0,0.0,0.4130255830035403,0.0,0.0,0.0,0.33915110817805644,0.0,0.0,0.0,0.08980265101338744,0.17149858514250882,0.0,0.0,0.3383549511458031,0.39645385628183105,0.0,0.5378214709843431,0.0,0.0,0.0,0.0,0.0,0.2041241452319315,0.6139406135149204,0.38965055355973705,0.0,0.0,0.04908806936738159,0.4399413450640598,0.0,0.35303154028581946,0.0,0.282842712474619,0.0,0.0,0.5257086483905711,0.0,0.0,0.0,0.0
Extra Dip,0.0,0.0,0.0,0.21566554640687682,0.06933752452815364,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3287979746107146,0.0,0.0,0.10043134635865489,0.0,0.03406013516450858,0.0,0.011191186605950029,0.0,0.0,0.0,0.0,0.0,0.0,0.041344911529736156,0.0,0.0,0.0,0.0,0.08535791995526398,0.0,0.0,0.0,0.015668823820262873,0.0,0.03892494720807615,0.0,0.0,0.0069849844528389075,0.0,0.0,0.0,0.0,0.0,0.0,0.008683595435033864,0.0,0.0,0.0,0.0,0.057135084190751154,0.0,0.0,0.6099942813304187,0.0,0.0,0.14475703219601424,0.0,0.0,0.0,0.0,0.0,0.0,0.06715342778730746,0.0,0.4082482904638631,0.0,0.03309516961607476,0.12909944487358055,0.0,0.0,0.0,0.25607375986579195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02162193750322053,0.04667600280093366,0.0,0.0,0.005686685229680374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2672612419124244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025395929612637445,0.0,0.0,0.0,0.06851887098275317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016500212441602786,0.0,0.0,0.013113696868991484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0612276774922627,0.0,0.0,0.06942101345006232,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05718956157005957,0.0,0.0,0.0,0.0
The Indian Pantry - Goan Vindaloo Sauce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mushroom Pizza,0.0,0.3209118995094173,0.0,0.3287914131579083,0.7444228321925206,0.10020470850492694,0.3239105320715664,0.0,0.0,0.9999999999999998,0.0,0.0,0.4283123676374014,0.6752905056894858,0.6738833755071417,0.17210970190189587,0.0,0.6611441288317258,0.7373473218404847,0.7048860290518927,0.0,0.0,0.753129639194848,0.6251343255135563,0.5554203842844524,0.5133985265289069,0.8155702464889861,0.0,0.5624693567477943,0.0,0.0,0.7123648256187857,0.0,0.5663738166795941,0.0,0.6762153002059506,0.0,0.16159060952584753,0.43803148825107724,0.2708072150697755,0.6571327130550983,0.0,0.0,0.6803245769885465,0.0,0.7503819255947939,0.0,0.6090960045395979,0.7579485709495144,0.1789369794730838,0.0,0.3870403143317667,0.1341333615578776,0.0,0.0,0.28379138891251104,0.2858583675619279,0.6252938419325608,0.13883678948872505,0.7871925629396794,0.0,0.0,0.34355900058832095,0.0,0.0,0.1076654345045409,0.0,0.07012868733182767,0.3195993709027958,0.7760122868861734,0.24763912576978186,0.0,0.0,0.0,0.3409087244384925,0.0,0.24888510182613788,0.1012220412723645,0.7654405213287109,0.0,0.3841106397986879,0.6859330738351939,0.3357445964359061,0.6691760458150114,0.7777441023767022,0.0,0.0,0.6763099340316254,0.0,0.020831324236136577,0.7082904586442779,0.5624457543756876,0.0,0.0,0.0,0.1300783406538535,0.5848960297689785,0.5160537524423557,0.3851147451875973,0.7316411949141236,0.0,0.1417108577813103,0.0,0.7521677252930179,0.0,0.0,0.0,0.6512809371369355,0.041662648472273155,0.21180281916135232,0.026992544339297205,0.5090404282457116,0.6735461503017495,0.0,0.2631773073081477,0.8531538726377711,0.8160463010002228,0.0,0.6836836135824118,0.0,0.0,0.0,0.13158865365407385,0.0,0.4710904684964416,0.5965854923518854,0.6757596449636939,0.0382583354864275,0.0,0.11428227542017323,0.6976642554707366,0.0,0.8345397235142935,0.028629916715693413,0.37791490064715305,0.0,0.0,0.6230049724003529,0.0,0.0,0.0,0.0
Flaming Chocolate - Morning Glory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Indian Pantry - Aai's Gravy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clarity Kombucha - Ginger Lemon Jalapeno,0.0,0.07897471897389846,0.06213697660012,0.3634157736159576,0.5015568278463086,0.08219949365267865,0.11624763874381927,0.3287979746107146,0.0,0.4283123676374014,0.0,0.0,0.9999999999999998,0.3869426912042278,0.44757949661550483,0.1250104309512931,0.0,0.4423566865537752,0.35468087881717814,0.4020006142308167,0.0,0.0,0.34186785515333834,0.3253622557082257,0.09863939238321438,0.44563426062418965,0.4893884341717114,0.0,0.3273463208339805,0.0,0.0,0.45606455697195725,0.0,0.42605728299194706,0.11624763874381927,0.42554508452601403,0.10397504898200727,0.19837587895958864,0.37966319830099965,0.55821655598023,0.46851634311927565,0.0,0.0,0.3044077736591046,0.0,0.35982049434881125,0.0,0.37902097550542707,0.3317301588920037,0.12329924047901797,0.0,0.19495321684126363,0.2254307995335796,0.0,0.0,0.30084732633834016,0.4103646773287979,0.3630274532166015,0.23401277673381182,0.49028893561168635,0.06213697660012,0.0,0.4931969619160719,0.0,0.0,0.1987191994017022,0.0,0.1342312110428049,0.18352066281439178,0.38085686587072043,0.16979054399120352,0.0,0.0,0.0,0.2525896007844687,0.0,0.06213697660012,0.1743714581157289,0.3719593823933475,0.0,0.2940858488375231,0.35385755496709415,0.12683657235796025,0.35901708754002726,0.36832740441290474,0.0,0.0,0.376758773032166,0.0,0.11961783342433499,0.31020653801636133,0.47847133369734,0.0,0.0,0.0,0.08787495503274936,0.35330298003194227,0.36391267143702544,0.3533695832553538,0.400117829821837,0.0,0.0,0.0,0.3903685877846009,0.06213697660012,0.0,0.0,0.33793299002613153,0.07974522228289,0.08108108108108109,0.03874921291460643,0.14615084586538157,0.43859872255589505,0.0,0.11624763874381927,0.48284604239865037,0.5032183017327654,0.0,0.4872285376307094,0.0,0.0,0.1643989873053573,0.3487429162314578,0.06213697660012,0.5220368976638745,0.32625895611447425,0.3070059293310036,0.13181243254912406,0.0,0.1940166532513312,0.5966583297438958,0.0,0.39776341946156335,0.1643989873053573,0.3945575695328575,0.06213697660012,0.0,0.4183848172917052,0.0,0.0,0.0,0.0
SF Guardian IPA,0.0,0.2646252542727904,0.0,0.3186048906226069,0.6684188953258632,0.07511746287542015,0.5134553180524705,0.0,0.0,0.6752905056894858,0.0,0.0,0.3869426912042278,1.0000000000000002,0.7265670557631803,0.1749523829857733,0.0,0.8238405222780684,0.476055321508442,0.7853105193977306,0.0,0.0,0.6144135613742392,0.6880836905161063,0.46572826982760496,0.47511323729330973,0.8488981275588131,0.0,0.7844201231736125,0.0,0.0,0.766218510811834,0.0,0.7722100922154801,0.0,0.5381254477287077,0.0,0.1491211071183478,0.4481472365903107,0.1093119648578014,0.7716504323795058,0.0,0.0,0.7031798205147113,0.0,0.8448836320204959,0.0,0.786335182377029,0.8094089211958158,0.08763704002132351,0.0,0.3761086016708255,0.09012869387723786,0.0,0.03541071158982555,0.3551144765609365,0.3402859830749849,0.7343429655029924,0.1298812729592845,0.7121402154449861,0.0,0.0,0.10015661716722687,0.0,0.0,0.07566592678155415,0.0,0.0,0.40063850654300065,0.7839266051805672,0.2424405689382135,0.0,0.0,0.0,0.3077697784014062,0.0,0.28391732269498365,0.061968745282194704,0.8488373436582264,0.0,0.4255183083264492,0.7994434469680274,0.13909051394796484,0.7698637315663979,0.7304547724108627,0.03541071158982555,0.0,0.8281390120964489,0.0,0.0,0.8189427719753753,0.5161953896062843,0.0,0.0,0.0,0.0535359637797206,0.804232034732514,0.7918075824648958,0.41667671396936934,0.8770402289030819,0.0,0.017705355794912774,0.0,0.7811940590443397,0.0,0.0,0.0,0.6485174321613956,0.03036443468272261,0.18112211077644705,0.005901785264970926,0.23531820735272457,0.5981793632496354,0.0,0.10623213476947664,0.7498697277887791,0.7785794435524481,0.0,0.7847705513803984,0.0,0.0,0.0,0.03541071158982555,0.0,0.5493417738848971,0.7826426639444665,0.7174857753918255,0.08030394566958089,0.0,0.0956033906778335,0.7321958960656572,0.0,0.7798761940573332,0.01251957714590336,0.37558731437710074,0.0,0.0,0.8377072797795985,0.0,0.0,0.0,0.0
